Numero,Tópico,Enunciado de la Pregunta,Alt. A,Alt. B,Alt. C,Alt. D,Respuesta,Justificación Técnica
214,RIC 01: Distancias,¿Qué distancia mínima de separación debe haber entre celdas de empalme de Media Tensión y tableros de Baja Tensión?,"0,6 m","1,0 m","1,5 m","3,0 m",C,"De acuerdo con el punto 7.21 del RIC 01, la distancia de separación no debe ser inferior a 1,5 m."
215,RIC 01: BNUP,¿Cuál es la altura mínima de montaje para unidades de medida en Bienes Nacionales de Uso Público (BNUP)?,"1,8 m","2,0 m","2,1 m","2,5 m",D,"El punto 7.23 especifica que para instalaciones de alumbrado público o recarga de vehículos en BNUP, la altura mínima será de 2,5 m para evitar manipulación."
216,RIC 02: Definiciones,¿Cómo se definen los tableros que protegen los alimentadores y permiten operar toda la instalación?,Tableros de distribución,Tableros generales,Tableros de comando,CCM,B,"Según el punto 4.25.1.1, los tableros generales son los principales de la instalación y protegen los alimentadores."
217,RIC 02: Protecciones,¿Cuál es el número máximo de circuitos que puede alimentar una sola protección general en un tablero?,10 circuitos,15 circuitos,25 circuitos,50 circuitos,C,El banco de preguntas y el estándar normativo establecen un límite de 25 circuitos por cada protección general.
218,RIC 02: Ubicación,¿En qué lugar está prohibida explícitamente la instalación de tableros eléctricos?,Pasillos,Dormitorios y baños,Cocinas,Logias,B,"El punto 5.1.3.2 del RIC 10 y las disposiciones del RIC 02 prohíben tableros en dormitorios, baños y lavaderos."
219,RIC 02: Alturas,¿Cuál es la altura máxima permitida para los dispositivos de operación (maniobra) en un tablero?,"1,40 m","1,80 m","2,00 m","2,10 m",C,"Los dispositivos de protección y maniobra deben situarse a una altura máxima de 2,0 metros sobre el nivel del suelo."
220,RIC 02: Espacio,¿Qué porcentaje de espacio de reserva libre deben tener los tableros nuevos para futuras ampliaciones?,10%,20%,25%,50%,C,"Según el punto 6.1.16.4, los tableros deben proyectarse con un margen de reserva del 25% de su capacidad física."
221,RIC 02: Seguridad,¿Qué espacio de trabajo libre mínimo debe existir frente a un tablero eléctrico?,"0,80 m","1,10 m","1,50 m","2,00 m",B,"El RIC 02 establece un espacio libre mínimo de 1,10 metros frente a los tableros para permitir su operación segura."
222,RIC 02: Instalación,¿Qué grado de protección IP mínimo se exige para tableros instalados en el interior de una vivienda?,IP20,IP 41,IP44,IP54,B,El punto 6.1.21.2 exige un grado de protección IP 41 como mínimo para todos los tableros instalados en interiores.
223,RIC 02: Exterior,¿Qué grado IP se requiere para un tablero instalado a la intemperie pero bajo techo?,IP 41,IP 44,IP 54,IP 68,B,"El punto 6.1.21.3 especifica que bajo techo al exterior el grado mínimo es IP 44; si no hay techo, debe ser IP 54."
224,RIC 02: Instrumentos,¿A partir de qué capacidad nominal es obligatorio que un tablero lleve instrumentos de medida?,50 A,100 A,150 A,200 A,B,"Según el punto 6.2.13, todos los tableros de capacidad igual o superior a 100 A deben incluir instrumentos que indiquen tensión y corriente."
225,RIC 02: Indicadores,¿Cuántos circuitos puede tener como máximo un tablero domiciliario para ser exceptuado de luces piloto?,1 circuito,2 circuitos,3 circuitos,5 circuitos,C,El punto 6.2.14 exceptúa de la obligación de luces piloto de presencia de energía a los tableros domiciliarios de hasta 3 circuitos.
226,RIC 02: Cableado,¿Qué método de instalación se usa como equivalente para dimensionar el cableado interno del tablero?,Método B1,Método C,Método A1,Método F,C,El punto 6.2.2 indica que el cableado interno se dimensiona según el RIC 04 utilizando el método A1 como equivalente.
227,RIC 02: Barras,¿Cuál es la secuencia correcta de montaje para las barras de distribución (R-S-T)?,"Rojo, Negro, Azul","Azul, Negro, Rojo","Negro, Azul, Rojo","Verde, Blanco, Azul",B,"Según el punto 6.2.9, el montaje debe seguir la secuencia azul, negro y rojo (de izquierda a derecha o arriba hacia abajo)."
228,RIC 02: Salas,¿Qué autonomía mínima debe tener el alumbrado de emergencia en una sala eléctrica?,30 min,60 min,90 min,120 min,D,El punto 5.4.10 exige equipos autónomos de emergencia con una autonomía no inferior a 2 horas (120 minutos).
229,RIC 02: Conexiones,¿A partir de cuántos circuitos es obligatorio el uso de regletas de conexiones para cargas externas?,3 circuitos,5 circuitos,8 circuitos,12 circuitos,C,El punto 6.2.12 establece que se exceptúan del uso de regletas solo los tableros menores a 8 circuitos.
230,RIC 02: Rotulación,¿Qué información NO es obligatoria estampar en la placa de datos exterior del tablero?,Tensión de servicio,Corriente nominal,RUT del instalador,Marca de fabricación,C,"El punto 5.3.5 exige marca, nombre del tablero, tensión, corriente y número de fases, pero no especifica el RUT del instalador en la placa."
231,RIC 03: Definiciones,¿Cómo se definen los conductores que van entre el equipo de medida y el primer tablero de la instalación?,Subalimentadores,Alimentadores,Derivaciones,Circuitos finales,B,"El punto 3.1 del RIC 03 define los alimentadores como los conductores entre el equipo de medida y el primer tablero, o entre tableros generales."
232,RIC 03: Caída de Tensión,¿Cuál es el porcentaje máximo de caída de tensión permitido específicamente en los alimentadores?,1%,2%,3%,5%,C,"Según el punto 5.1.3, la sección de alimentadores y subalimentadores debe asegurar que la caída de tensión no exceda el 3% de la tensión nominal."
233,RIC 03: Caída de Tensión,¿Cuál es el límite máximo de caída de tensión total permitido hasta el punto más desfavorable de la instalación?,2%,3%,4%,5%,D,El punto 5.1.3 establece que la caída de tensión total en el punto más desfavorable de la instalación no debe superar el 5%.
234,RIC 03: Conductores,¿Qué tipo de conductores son obligatorios para alimentadores en edificios de altura?,PVC (NYA),THHN,RZ1 o RZ1-K,Conductores desnudos,C,El punto 5.1.7.1 exige que los conductores para estos alimentadores sean de la denominación armonizada RZ1 o RZ1-K.
235,RIC 03: Canalización,¿Qué porcentaje máximo de la sección transversal de una bandeja pueden ocupar los conductores de alimentadores?,25%,30%,40%,50%,C,"De acuerdo con el punto 5.1.7.4, los conductores no deben ocupar más del 40% de la sección transversal de bandejas o escalerillas."
236,RIC 03: Canalización,¿Cada cuántos metros como máximo deben ser peinados y amarrados los cables en una escalerilla?,"1,0 m","1,5 m","2,0 m","3,0 m",C,"El punto 5.1.7.3 indica que para mantener el ordenamiento, los cables serán peinados y amarrados en tramos no superiores a 2,0 m."
237,RIC 03: Protecciones,¿Qué tipo de corte debe realizar el dispositivo de protección del alimentador principal?,Unipolar,Bipolar,Omnipolar,Solo fases,C,El punto 5.2.5 establece que el dispositivo del alimentador principal deberá ser de corte omnipolar (salvo excepciones sobre 630 A).
238,RIC 03: Protecciones,¿Cuál es el largo máximo permitido para una derivación de alimentador sin protección individual si está en ducto cerrado?,1 m,3 m,5 m,10 m,C,El punto 5.2.6 exceptúa de protección individual a las derivaciones de no más de 5 m de largo conectadas directamente desde la barra.
239,RIC 03: Demanda,"En una casa habitación, ¿qué factor de demanda se aplica a los primeros 3.000 W de carga?","0,35","0,5","0,75",1,D,"Según la Tabla N°3.1, para casas habitación, el tramo de los primeros 3 kW tiene un factor de demanda de 1."
240,RIC 03: Demanda,"¿Qué factor de demanda se debe aplicar reglamentariamente a los ""Servicios Comunes"" de un edificio?","0,5","0,8","0,9",1,D,La Tabla N°3.1 especifica que para los servicios comunes se debe considerar toda la potencia con un factor de demanda de 1.
241,RIC 03: Demanda,¿Cuál es el factor de demanda para los primeros 50 kW de carga instalada en un Hospital?,"0,2","0,35","0,4",1,C,"La Tabla N°3.1 del pliego fija un factor de demanda de 0,4 para los primeros 50 kW en hospitales."
242,RIC 03: Neutro,¿Qué sección mínima debe tener el conductor neutro en un alimentador monofásico?,50% de fase,Igual a fase,"1,5 veces la fase",Según cálculo de armónicos,B,El punto 6.4.1 establece que el neutro de alimentadores monofásicos tendrá la misma sección del conductor de fase.
243,RIC 03: Neutro,¿Cómo se dimensiona el neutro trifásico para cargas no lineales con filtros armónicos concentrados?,Igual a fase,Al menos 50% mayor que fase,200% de fase,No requiere neutro,B,El punto 6.4.3 letra a indica que en este caso la sección mínima del neutro será al menos un 50% mayor que la de los conductores de fase.
244,RIC 03: Simultaneidad,¿Qué factor de simultaneidad se aplica a un conjunto de 3 viviendas alimentadas por un único empalme?,"0,9","0,95",1,"1,1",C,"De acuerdo con la Tabla N°3.2, para conjuntos de 1 a 3 viviendas el factor de simultaneidad es 1."
245,RIC 03: Canalización,¿Qué requisito de identificación tienen los alimentadores en edificios de altura?,Solo en el tablero,Solo en el medidor,Marcado piso a piso,No requieren marca,C,El punto 5.1.7.5 exige que los alimentadores se marquen piso a piso mediante identificadores permanentes e indelebles.
246,RIC 04: General,¿Qué característica de seguridad deben cumplir todos los conductores eléctricos aislados según el RIC 04?,Ser de aluminio,Ser solo de alambre,Retardantes a la llama y autoextinguentes,Tener doble aislamiento,C,El punto 5.2 del RIC 04 establece que todos los conductores eléctricos aislados y canalizaciones no metálicas deberán ser retardantes a la llama y autoextinguentes.
247,RIC 04: Definiciones,¿Cómo se define técnicamente una canalización que va alojada en calados de muros y es recubierta por terminaciones?,Canalización oculta,Canalización embutida,Canalización preembutida,Canalización subterránea,B,"Según el punto 4.17.2, la canalización embutida es aquella colocada en perforaciones o calados hechos en muros o losas y recubierta por enlucidos."
248,RIC 04: Materiales,¿Cómo se denomina el cable que mantiene la integridad del circuito durante un incendio para sistemas de evacuación?,Cable retardante,Cable autoextinguente,Cable resistente al fuego (AS+),Cable libre de halógenos,C,El punto 4.11 define al cable resistente al fuego (AS+) como aquel que mantiene la integridad del circuito por un tiempo suficiente para evacuación.
249,RIC 04: Ampacidad,"Si una tubería lleva de 4 a 6 conductores activos, ¿qué factor de corrección (fn) se debe aplicar a su capacidad?","0,9","0,8","0,7","0,5",B,"De acuerdo con la Tabla N°4.6 del RIC 04, para un grupo de 4 a 6 conductores en un ducto, el factor de corrección fn es de 0,8."
250,RIC 04: Temperatura,"Para un cable con temperatura de servicio de 70°C operando a 33°C ambiente, ¿cuál es el factor de corrección (ft)?",1,"0,96","0,94","0,87",C,"Según la Tabla N°4.7 del RIC 04, para cables de 70°C en ambientes de 31°C a 35°C, el factor de corrección ft es 0,94."
251,RIC 04: Canalización,¿Qué grado de protección IP e IK mínimo se exige para molduras y bandejas portaconductores livianas?,IP20 / IK 05,IP 4X / IK 07,IP44 / IK 08,IP68 / IK 10,B,El punto 7.7.3 del RIC 04 especifica que estas canalizaciones deben mantener un grado IP mínimo de IP 4x y una protección IK 07.
252,RIC 04: Instalación,¿Cuál es la separación máxima permitida entre soportes para una tubería metálica de 25 mm de diámetro?,"0,80 m","1,00 m","1,20 m","1,50 m",C,"La tabla de la sección 7.16.4.8 indica que para diámetros de 16 a 25 mm, la separación entre soportes debe ser de 1,20 m."
253,RIC 04: Instalación,¿Cuál es el radio de curvatura mínimo al borde interior para una tubería metálica de 25 mm de diámetro?,10 cm,15 cm,18 cm,25 cm,C,"Según la Tabla N°4.22 del RIC 04, el radio de curvatura para una tubería de 25 mm nominales debe ser de 18 cm."
254,RIC 04: Cable MI,"Cuando se instala a la vista, ¿cuál es la distancia máxima de fijación para un cable de aislación mineral (MI)?","0,3 m","0,5 m","1,0 m","1,5 m",B,"El punto 7.4.4 establece que el cable MI a la vista deberá fijarse mediante soportes ubicados a distancias no superiores a 0,5 m en tramos rectos."
255,RIC 04: Líneas Aéreas,¿Cuál es la sección mínima de conductor para líneas aéreas a la intemperie con vanos de hasta 30 metros?,4 mm²,6 mm²,10 mm²,16 mm²,B,El punto 7.2.6 indica que la sección mínima será de 6 mm² para vanos de hasta 30 m de longitud.
256,RIC 04: Ampacidad,"En circuitos trifásicos, ¿se considera el neutro como un cuarto conductor para efectos de capacidad de transporte?","Sí, siempre",Solo si hay armónicos,"No, en ningún caso",Solo en conductores AWG,C,El punto 6.2.4 señala que en caso de circuitos trifásicos no se considerará al neutro como un cuarto conductor al fijar la capacidad de transporte.
257,RIC 04: Instalación,¿A qué altura es conveniente disponer las tuberías para protegerlas de eventuales daños mecánicos?,"1,80 m","2,10 m","2,50 m","3,00 m",C,"El punto 7.16.4.8 recomienda disponer las tuberías, siempre que sea posible, a una altura mínima de 2,50 m sobre el suelo."
258,RIC 04: Definiciones,¿Cómo se denomina a la canalización que es accesible en toda su extensión pero no permite visualización directa?,Canalización a la vista,Canalización oculta,Canalización embutida,Canalización de shaft,B,"El punto 4.17.3 define canalización oculta como aquella colocada en lugares que no permiten visualización directa, pero accesible en toda su extensión."
259,RIC 04: Identificación,¿Qué requisitos fundamentales debe cumplir la identificación de los conductores eléctricos?,Ser en inglés,Ser solo en el tablero,Ser legible e indeleble,Ser grabada en el cobre,C,El punto 6.2.7.1 exige que la identificación de los conductores sea legible e indeleble conforme a los protocolos de la Superintendencia.
260,RIC 04: Canalización,"En la situación de canalizaciones, ¿está admitido el uso de ductos en Shafts no accesibles?",No admitido,Admitido (+),Solo para corrientes débiles,Solo si son metálicos,B,"Según la Tabla N°4.9, el uso de tuberías (ductos) está admitido (+) en Shafts no accesibles."
261,RIC 05: Definiciones,¿Cómo se denomina técnicamente el contacto de personas con partes de un circuito que están energizadas en condiciones normales?,Contacto indirecto,Contacto directo,Falla a masa,Tensión de paso,B,"El punto 5.2.1 define contacto directo como aquel en que se toca una parte del circuito que, en condiciones normales, está energizada."
262,RIC 05: Definiciones,¿Qué tipo de contacto ocurre cuando una persona toca una parte metálica que se energizó accidentalmente por una falla?,Contacto directo,Contacto indirecto,Tensión de seguridad,Arco eléctrico,B,"Según el punto 5.2.2, el contacto indirecto ocurre al tocar partes metálicas desenergizadas en condiciones normales, pero energizadas por falla."
263,RIC 05: Seguridad,¿Cuál es el valor máximo de tensión de seguridad permitido para corriente alterna en lugares secos?,12 V,24 V,50 V,120 V,C,El punto 5.8 establece que en lugares secos la tensión máxima de seguridad para CA es de 50 V.
264,RIC 05: Seguridad,¿Cuál es el valor máximo de tensión de seguridad para corriente alterna en lugares húmedos o mojados?,12 V,24 V,50 V,60 V,B,"Para lugares húmedos o mojados, el punto 5.8 fija la tensión de seguridad en un máximo de 24 V en corriente alterna."
265,RIC 05: Seguridad,¿Qué valor de resistencia se considera reglamentariamente para representar al cuerpo humano en este pliego?,500 Ohm,1.000 Ohm,2.000 Ohm,50.000 Ohm,C,El punto 5.7 indica que el valor referencial de resistencia del cuerpo humano se considera igual a 2.000 Ohm.
266,RIC 05: Seguridad,"¿Qué resistencia mínima debe tener un piso para ser considerado técnicamente como ""piso aislante"" en una red de 220 V?",1.000 Ohm,2.000 Ohm,24.000 Ohm,50.000 Ohm,D,"Según el punto 5.9, se considera piso aislante a aquel que tenga una resistencia superior a 50.000 Ohm para tensiones de hasta 500 V."
267,RIC 05: Esquemas,"En un esquema de conexión TN-S, ¿cuál es la relación entre el conductor neutro y el de protección?",Van por el mismo cable,Están separados en toda la instalación,No existe el neutro,Se unen en los enchufes,B,El punto 6.4.3 describe que en el esquema TN-S el conductor de protección (CP) y el neutro (N) están separados en todo el esquema.
268,RIC 05: Esquemas,¿Cómo se define el esquema de conexión TN-C según la función de sus conductores?,Neutro y tierra separados,Funciones de neutro y protección combinadas,Sin conexión a tierra,Solo para alta tensión,B,"Según el punto 6.4.4, en el esquema TN-C las funciones de neutro y protección están combinadas en un solo conductor en todo el esquema."
269,RIC 05: Esquemas,¿Qué caracteriza fundamentalmente al esquema de conexión a tierra tipo TT?,El neutro no se aterriza,Puestas a tierra de alimentación y de cargas separadas,No usa conductor de protección,Es solo para hospitales,B,El punto 6.5.1 indica que en el esquema TT las masas de la instalación están conectadas a una tierra separada de la tierra de la alimentación.
270,RIC 05: Esquemas,¿Cuál es la condición principal de una instalación bajo un esquema tipo IT?,Tierra de baja resistencia,Instalación aislada de tierra o por alta impedancia,Neutro unido al fierro,Sin protecciones,B,El punto 6.6.1 define el esquema IT como aquel donde la instalación está aislada de tierra o conectada mediante una impedancia de valor alto.
271,RIC 05: Tiempos,"Para una tensión nominal de 220 V, ¿cuál es el tiempo máximo de interrupción permitido para seguridad?","0,1 s","0,2 s","0,4 s","5,0 s",C,"La Tabla 5.1 establece que para una tensión Uo de 220 V en CA, el tiempo máximo de interrupción es de 0,4 segundos."
272,RIC 05: Protecciones,"En el esquema TN, ¿cuál es el requisito de sensibilidad para los protectores diferenciales de protección de personas?",No superior a 10 mA,No superior a 30 mA,De 100 mA,De 300 mA,B,El punto 8.7.6.3 letra b exige protectores diferenciales de sensibilidad no superior a 30 mA para el esquema TN.
273,RIC 05: Diseño,"En la fórmula de protección Zs x Ia ≤ UL, ¿qué representa el parámetro ""Ia""?",Corriente de cortocircuito,Corriente que asegura el funcionamiento del corte,Corriente nominal de carga,Impedancia de falla,B,El punto 8.7.6.2 define a Ia como la corriente que asegura el funcionamiento del dispositivo de corte en el tiempo máximo definido.
274,RIC 05: Seguridad,"¿Qué altura mínima define el límite superior del ""volumen de accesibilidad"" para una persona?","1,25 m","2,00 m","2,50 m","3,00 m",C,"Según el Anexo 5.1, el volumen de accesibilidad llega hasta una altura de 2,50 m por encima de la superficie ocupada por personas."
275,RIC 05: Alumbrado,¿Qué tensión límite de seguridad se debe considerar específicamente para instalaciones de alumbrado público?,12 V,24 V,50 V,220 V,B,"El punto 8.7.4 indica que para instalaciones de alumbrado público (según RIC 11), la tensión límite es de 24 V."
276,RIC 06: Objetivos,¿Cuál es el objetivo principal de un Sistema de Puesta a Tierra (SPT) respecto a las personas?,Aumentar el voltaje,Garantizar la seguridad de las personas,Cobrar más cobre,Solo fines estéticos,B,El punto 5.2 establece que uno de los objetivos es garantizar la seguridad de las personas ante fallas de aislación.
277,RIC 06: Resistencia,¿Cuál es el valor máximo permitido para una resistencia de puesta a tierra de servicio (neutro)?,5 Ohm,10 Ohm,20 Ohm,80 Ohm,C,"Según el punto 6.1, la resistencia de la puesta a tierra de servicio no debe exceder los 20 Ohms."
278,RIC 06: Excepciones,¿En qué condición se permite que la tierra de servicio llegue hasta 80 Ohm en instalaciones de < 10 kW?,Si se usa alambre,Si tiene interruptor omnipolar y diferenciales de 30mA,Si el suelo es seco,Nunca se permite,B,El punto 6.2.1 permite subir a 80 Ohm si se cuenta con corte omnipolar y protección diferencial en todos los circuitos.
279,RIC 06: Ubicación,¿Dónde debe efectuarse reglamentariamente la conexión a la puesta a tierra de servicio?,Al final del patio,Lo más próximo posible al empalme,Dentro de un baño,Solo en el poste,B,El punto 6.4 indica que la conexión se efectuará lo más próximo posible al empalme o al punto de unión de salida.
280,RIC 06: Secciones,¿Cuál es la sección mínima del conductor de puesta a tierra de servicio que une el tablero con el electrodo?,"1,5 mm²","2,5 mm²","4,0 mm²",10 mm²,C,Los puntos 6.6.2 y 6.6.3 especifican que la sección mínima de este conductor será de 4 mm².
281,RIC 06: Protección,¿Está permitido intercalar dispositivos de desconexión o fusibles en el conductor de tierra de protección?,"Sí, para mantención","Sí, de 32 A","No, está prohibido",Solo en hospitales,C,El punto 7.6 prohíbe explícitamente intercalar dispositivos de desconexión o fusibles en estos conductores.
282,RIC 06: Electrodos,"Si se utilizan varias barras verticales, ¿qué distancia mínima debe haber entre ellas?",1 metro,3 metros,El doble del largo de cada una,Diez metros,C,"El punto 8.3.2 indica que si se requiere más de una barra, la distancia mínima será el doble del largo de las mismas."
283,RIC 06: Electrodos,¿Cuál es la sección mínima para conductores desnudos de cobre utilizados como electrodos?,10 mm²,16 mm²,25 mm²,50 mm²,C,"Según el punto 8.7, los conductores desnudos usados como electrodos tendrán una sección mínima de 25 mm²."
284,RIC 06: Tiempo,"En el dimensionamiento de conductores de tierra, ¿cuál es el tiempo máximo de exposición a la corriente de falla?","0,1 segundos","0,5 segundos","1,0 segundo","5,0 segundos",B,"El punto 8.8 establece que el tiempo de exposición para el cálculo nunca podrá ser superior a 0,5 segundos."
285,RIC 06: Medición,¿Cómo se denomina el método reglamentario de medida de tierra que utiliza electrodos auxiliares?,Método Wenner,Método Schlumberger,Método de la caída de potencial,Método de la pinza,C,El Anexo 6.3 describe el método de caída de potencial (o del 62%) como el estándar para medir la resistencia.
286,RIC 06: Calibración,¿Qué antigüedad máxima puede tener el certificado de calibración del instrumento de medida de tierra?,6 meses,1 año,2 años,5 años,B,"Según el Anexo 6.3 punto 1, el certificado de calibración no debe tener una antigüedad mayor a 1 año."
287,RIC 06: Resistividad,¿Cuáles son los métodos normales aceptados para la medición de la resistividad del terreno?,Wenner y Caída,Schlumberger o Wenner,Solo Wenner,Pinza y Caída,B,El Anexo 6.6 especifica que se aceptarán las configuraciones tetraelectródicas conocidas como Schlumberger o Wenner.
288,RIC 06: Instrumento,¿Qué resolución mínima debe tener el geómetro (telurómetro) utilizado para las mediciones?,1 Ohm,"0,1 Ohm","0,01 Ohm",Sin resolución,C,"El Anexo 6.3 exige instrumentos con una resolución no mayor de 0,01 Ohm."
289,RIC 06: Materiales,¿Cuál es el diámetro mínimo para una varilla de acero galvanizado destinada a electrodos profundos?,10 mm,14 mm,16 mm,20 mm,C,La Tabla N°6.1 indica que las varillas de acero galvanizado para electrodos profundos deben tener un diámetro mínimo de 16 mm.
290,RIC 06: Continuidad,¿Qué superficie mínima de contacto debe asegurar la unión entre dos elementos del SPT?,1 cm²,Igual a la del elemento menor,El doble del cable,No importa,B,El punto 5.6.5 exige que la superficie de contacto sea al menos igual a la del elemento de menor superficie que compone la unión.
